datetime,date_only,hourly_demand,hourly_average_price,ontario_avg_temp_c,cold_stress,heat_stress,temp_stress_type
2018-01-01 00:00:00,2018-01-01,16627000,51.29,-20.0,1,0,cold
2018-01-01 01:00:00,2018-01-01,16084000,43.59,-20.0,1,0,cold
2018-01-01 02:00:00,2018-01-01,15866000,93.6,-20.0,1,0,cold
2018-01-01 03:00:00,2018-01-01,15725000,54.78,-20.0,1,0,cold
2018-01-01 04:00:00,2018-01-01,15470000,14.35,-20.0,1,0,cold
2018-01-01 05:00:00,2018-01-01,15502000,18.6,-20.0,1,0,cold
2018-01-01 06:00:00,2018-01-01,15750000,21.72,-20.0,1,0,cold
2018-01-01 07:00:00,2018-01-01,15887000,40.89,-20.0,1,0,cold
2018-01-01 08:00:00,2018-01-01,15923000,20.75,-20.0,1,0,cold
2018-01-01 09:00:00,2018-01-01,16381000,74.57,-20.0,1,0,cold
2018-01-01 10:00:00,2018-01-01,16672000,4.65,-20.0,1,0,cold
2018-01-01 11:00:00,2018-01-01,16720000,9.45,-20.0,1,0,cold
2018-01-01 12:00:00,2018-01-01,16839000,13.65,-20.0,1,0,cold
2018-01-01 13:00:00,2018-01-01,16772000,14.37,-20.0,1,0,cold
2018-01-01 14:00:00,2018-01-01,16868000,26.73,-20.0,1,0,cold
2018-01-01 15:00:00,2018-01-01,17314000,42.12,-20.0,1,0,cold
2018-01-01 16:00:00,2018-01-01,18081000,42.28,-20.0,1,0,cold
2018-01-01 17:00:00,2018-01-01,19339000,44.84,-20.0,1,0,cold
2018-01-01 18:00:00,2018-01-01,19249000,42.22,-20.0,1,0,cold
2018-01-01 19:00:00,2018-01-01,18960000,41.06,-20.0,1,0,cold
2018-01-01 20:00:00,2018-01-01,18663000,43.76,-20.0,1,0,cold
2018-01-01 21:00:00,2018-01-01,18074000,48.38,-20.0,1,0,cold
2018-01-01 22:00:00,2018-01-01,17218000,42.58,-20.0,1,0,cold
2018-01-01 23:00:00,2018-01-01,16356000,38.14,-20.0,1,0,cold
2018-01-02 00:00:00,2018-01-02,15809000,31.12,-14.96,1,0,cold
2018-01-02 01:00:00,2018-01-02,15465000,10.76,-14.96,1,0,cold
2018-01-02 02:00:00,2018-01-02,15255000,14.34,-14.96,1,0,cold
2018-01-02 03:00:00,2018-01-02,15236000,0.29,-14.96,1,0,cold
2018-01-02 04:00:00,2018-01-02,15275000,1.43,-14.96,1,0,cold
2018-01-02 05:00:00,2018-01-02,15726000,14.36,-14.96,1,0,cold
2018-01-02 06:00:00,2018-01-02,16874000,19.1,-14.96,1,0,cold
2018-01-02 07:00:00,2018-01-02,17897000,34.9,-14.96,1,0,cold
2018-01-02 08:00:00,2018-01-02,18232000,43.72,-14.96,1,0,cold
2018-01-02 09:00:00,2018-01-02,18739000,46.03,-14.96,1,0,cold
2018-01-02 10:00:00,2018-01-02,19030000,49.4,-14.96,1,0,cold
2018-01-02 11:00:00,2018-01-02,19126000,66.6,-14.96,1,0,cold
2018-01-02 12:00:00,2018-01-02,18984000,42.14,-14.96,1,0,cold
2018-01-02 13:00:00,2018-01-02,18873000,40.35,-14.96,1,0,cold
2018-01-02 14:00:00,2018-01-02,18753000,34.36,-14.96,1,0,cold
2018-01-02 15:00:00,2018-01-02,18883000,29.98,-14.96,1,0,cold
2018-01-02 16:00:00,2018-01-02,19396000,42.86,-14.96,1,0,cold
2018-01-02 17:00:00,2018-01-02,20331000,42.33,-14.96,1,0,cold
2018-01-02 18:00:00,2018-01-02,19890000,40.37,-14.96,1,0,cold
2018-01-02 19:00:00,2018-01-02,19937000,42.44,-14.96,1,0,cold
2018-01-02 20:00:00,2018-01-02,19633000,42.29,-14.96,1,0,cold
2018-01-02 21:00:00,2018-01-02,18816000,41.64,-14.96,1,0,cold
2018-01-02 22:00:00,2018-01-02,17792000,8.01,-14.96,1,0,cold
2018-01-02 23:00:00,2018-01-02,16921000,29.72,-14.96,1,0,cold
2018-01-03 00:00:00,2018-01-03,16277000,2.31,-13.66,1,0,cold
2018-01-03 01:00:00,2018-01-03,15835000,19.43,-13.66,1,0,cold
2018-01-03 02:00:00,2018-01-03,15606000,0.0,-13.66,1,0,cold
2018-01-03 03:00:00,2018-01-03,15554000,0.0,-13.66,1,0,cold
2018-01-03 04:00:00,2018-01-03,15656000,0.0,-13.66,1,0,cold
2018-01-03 05:00:00,2018-01-03,16088000,0.0,-13.66,1,0,cold
2018-01-03 06:00:00,2018-01-03,17140000,32.26,-13.66,1,0,cold
2018-01-03 07:00:00,2018-01-03,18148000,66.58,-13.66,1,0,cold
2018-01-03 08:00:00,2018-01-03,18464000,79.95,-13.66,1,0,cold
2018-01-03 09:00:00,2018-01-03,18933000,88.93,-13.66,1,0,cold
