hourly_demand,hourly_average_price,datetime,date_only,ontario_avg_temp_c,cold_stress,heat_stress,temp_stress_type
13198000,0.0,2019-01-01 00:00:00,2019-01-01,-9.24,1,0,cold
12737000,0.0,2019-01-01 01:00:00,2019-01-01,-9.24,1,0,cold
12531000,-0.11,2019-01-01 02:00:00,2019-01-01,-9.24,1,0,cold
12291000,-1.84,2019-01-01 03:00:00,2019-01-01,-9.24,1,0,cold
12305000,-0.47,2019-01-01 04:00:00,2019-01-01,-9.24,1,0,cold
12559000,-0.03,2019-01-01 05:00:00,2019-01-01,-9.24,1,0,cold
13009000,-2.93,2019-01-01 06:00:00,2019-01-01,-9.24,1,0,cold
13234000,-0.03,2019-01-01 07:00:00,2019-01-01,-9.24,1,0,cold
13558000,0.0,2019-01-01 08:00:00,2019-01-01,-9.24,1,0,cold
13973000,0.0,2019-01-01 09:00:00,2019-01-01,-9.24,1,0,cold
14207000,2.7,2019-01-01 10:00:00,2019-01-01,-9.24,1,0,cold
14391000,0.0,2019-01-01 11:00:00,2019-01-01,-9.24,1,0,cold
14442000,0.0,2019-01-01 12:00:00,2019-01-01,-9.24,1,0,cold
14427000,0.38,2019-01-01 13:00:00,2019-01-01,-9.24,1,0,cold
14557000,2.32,2019-01-01 14:00:00,2019-01-01,-9.24,1,0,cold
15000000,7.22,2019-01-01 15:00:00,2019-01-01,-9.24,1,0,cold
16064000,8.41,2019-01-01 16:00:00,2019-01-01,-9.24,1,0,cold
17232000,21.51,2019-01-01 17:00:00,2019-01-01,-9.24,1,0,cold
17278000,30.18,2019-01-01 18:00:00,2019-01-01,-9.24,1,0,cold
17055000,31.16,2019-01-01 19:00:00,2019-01-01,-9.24,1,0,cold
16834000,26.89,2019-01-01 20:00:00,2019-01-01,-9.24,1,0,cold
16320000,15.67,2019-01-01 21:00:00,2019-01-01,-9.24,1,0,cold
15521000,10.99,2019-01-01 22:00:00,2019-01-01,-9.24,1,0,cold
14944000,15.85,2019-01-01 23:00:00,2019-01-01,-9.24,1,0,cold
14631000,33.45,2019-01-02 00:00:00,2019-01-02,-11.6,1,0,cold
14240000,14.75,2019-01-02 01:00:00,2019-01-02,-11.6,1,0,cold
14021000,13.36,2019-01-02 02:00:00,2019-01-02,-11.6,1,0,cold
13924000,13.33,2019-01-02 03:00:00,2019-01-02,-11.6,1,0,cold
14183000,10.23,2019-01-02 04:00:00,2019-01-02,-11.6,1,0,cold
14813000,6.4,2019-01-02 05:00:00,2019-01-02,-11.6,1,0,cold
16096000,10.94,2019-01-02 06:00:00,2019-01-02,-11.6,1,0,cold
17129000,16.0,2019-01-02 07:00:00,2019-01-02,-11.6,1,0,cold
17438000,19.32,2019-01-02 08:00:00,2019-01-02,-11.6,1,0,cold
17409000,19.29,2019-01-02 09:00:00,2019-01-02,-11.6,1,0,cold
17392000,25.5,2019-01-02 10:00:00,2019-01-02,-11.6,1,0,cold
17407000,32.24,2019-01-02 11:00:00,2019-01-02,-11.6,1,0,cold
17611000,32.35,2019-01-02 12:00:00,2019-01-02,-11.6,1,0,cold
17850000,32.37,2019-01-02 13:00:00,2019-01-02,-11.6,1,0,cold
17997000,31.07,2019-01-02 14:00:00,2019-01-02,-11.6,1,0,cold
18464000,35.96,2019-01-02 15:00:00,2019-01-02,-11.6,1,0,cold
18802000,36.83,2019-01-02 16:00:00,2019-01-02,-11.6,1,0,cold
19666000,49.08,2019-01-02 17:00:00,2019-01-02,-11.6,1,0,cold
19285000,36.02,2019-01-02 18:00:00,2019-01-02,-11.6,1,0,cold
19136000,50.93,2019-01-02 19:00:00,2019-01-02,-11.6,1,0,cold
18737000,88.6,2019-01-02 20:00:00,2019-01-02,-11.6,1,0,cold
17961000,40.61,2019-01-02 21:00:00,2019-01-02,-11.6,1,0,cold
16811000,9.99,2019-01-02 22:00:00,2019-01-02,-11.6,1,0,cold
15879000,5.14,2019-01-02 23:00:00,2019-01-02,-11.6,1,0,cold
15236000,0.0,2019-01-03 00:00:00,2019-01-03,-3.76,1,0,cold
14589000,0.96,2019-01-03 01:00:00,2019-01-03,-3.76,1,0,cold
14349000,0.0,2019-01-03 02:00:00,2019-01-03,-3.76,1,0,cold
14024000,0.0,2019-01-03 03:00:00,2019-01-03,-3.76,1,0,cold
14074000,0.0,2019-01-03 04:00:00,2019-01-03,-3.76,1,0,cold
14539000,0.0,2019-01-03 05:00:00,2019-01-03,-3.76,1,0,cold
15604000,1.48,2019-01-03 06:00:00,2019-01-03,-3.76,1,0,cold
16668000,16.38,2019-01-03 07:00:00,2019-01-03,-3.76,1,0,cold
17220000,56.14,2019-01-03 08:00:00,2019-01-03,-3.76,1,0,cold
17670000,86.45,2019-01-03 09:00:00,2019-01-03,-3.76,1,0,cold
17858000,17.37,2019-01-03 10:00:00,2019-01-03,-3.76,1,0,cold
17719000,12.73,2019-01-03 11:00:00,2019-01-03,-3.76,1,0,cold
17417000,8.4,2019-01-03 12:00:00,2019-01-03,-3.76,1,0,cold
17471000,13.35,2019-01-03 13:00:00,2019-01-03,-3.76,1,0,cold
17657000,14.0,2019-01-03 14:00:00,2019-01-03,-3.76,1,0,cold
17777000,14.15,2019-01-03 15:00:00,2019-01-03,-3.76,1,0,cold
18230000,18.8,2019-01-03 16:00:00,2019-01-03,-3.76,1,0,cold
18803000,18.48,2019-01-03 17:00:00,2019-01-03,-3.76,1,0,cold
18414000,9.49,2019-01-03 18:00:00,2019-01-03,-3.76,1,0,cold
18182000,13.65,2019-01-03 19:00:00,2019-01-03,-3.76,1,0,cold
17868000,14.24,2019-01-03 20:00:00,2019-01-03,-3.76,1,0,cold
17048000,8.53,2019-01-03 21:00:00,2019-01-03,-3.76,1,0,cold
16071000,0.87,2019-01-03 22:00:00,2019-01-03,-3.76,1,0,cold
15024000,0.0,2019-01-03 23:00:00,2019-01-03,-3.76,1,0,cold
14378000,0.0,2019-01-04 00:00:00,2019-01-04,1.12,0,0,none
13862000,0.0,2019-01-04 01:00:00,2019-01-04,1.12,0,0,none
13622000,0.0,2019-01-04 02:00:00,2019-01-04,1.12,0,0,none
13464000,0.0,2019-01-04 03:00:00,2019-01-04,1.12,0,0,none
